variable_names,totpop,agep,agep,agep,agep,agep,agep,agep,agep,agep,agep,gender,gender,employment,employment,employment
variable_categories,1,1,2,3,4,5,6,7,8,9,10,1,2,1,2,3
region
1,443709.0,37607.0,70393.0,59941.0,71798.0,65641.0,58616.0,42512.0,21568.0,11696.0,3937.0,223237.0,220472.0,235406.77,88064.40000000002,120237.83000000002
5,574808.0,40662.0,81682.0,74043.0,84728.0,82326.0,85340.0,67822.0,32610.0,17761.0,7834.0,281787.0,293021.0,319053.95,119829.94,135924.11
13,295610.0,16407.0,35860.0,52249.0,39665.0,41027.0,44532.0,36025.0,16978.0,8786.0,4081.0,148458.0,147152.0,175419.93,62814.600000000006,57375.47
14,56098.0,3913.0,8432.0,6655.0,7765.0,8994.0,8656.0,6130.0,3123.0,1775.0,655.0,27838.0,28260.0,30886.95,11907.589999999997,13303.46
19,9083.0,441.0,828.0,730.0,924.0,1337.0,1858.0,1824.0,800.0,269.0,72.0,4731.0,4352.0,5683.41,2009.5900000000001,1390.0
31,604875.0,44060.0,68736.0,78675.0,123947.0,91008.0,72942.0,62613.0,32703.0,20419.0,9772.0,302454.0,302421.0,351575.84,131032.43,122266.72999999998
35,287119.0,21631.0,51744.0,29808.0,32900.0,51464.0,47735.0,31097.0,13614.0,5340.0,1786.0,142092.0,145027.0,160222.94,48265.22999999998,78630.83000000002
39,17756.924278391998,865.5925058784,2659.7017955448,2001.2989852224,1264.6245121344,2454.0468384744,3879.0515223539996,2907.5620609692,1183.2833723976,413.61202186919996,128.1506635476,8886.135831624,8870.788446768,9905.140796522976,3955.6963623248616,3896.0871195441605
47,5461.0,281.0,532.0,390.0,565.0,887.0,1179.0,1100.0,395.0,113.0,19.0,2890.0,2571.0,3571.65,1024.3500000000004,865.0
59,535648.0,30261.0,66765.0,66938.0,66004.0,71684.0,90849.0,75121.0,38058.0,21303.0,8665.0,265905.0,269743.0,305315.94,122340.71000000002,107991.34999999998
123,61910.292216864,4854.396142791,9659.115996987599,9488.414632749,8527.762875372,8499.0285515772,8306.167666446,6603.7807372134,3479.5318025754,1788.589900617,703.5039105354,30970.974337641,30939.317879223,32460.47645423692,13876.143441102773,15573.672321524307
