geo,sample_geo
5006,100
5007,100
5008,100
5009,100
5010,103
5011,103
5012,103
5013,103
5014,103
5015,103
5016,103
5017,103
5018,103
5019,103
5020,101
5021,103
5022,101
5023,101
5024,104
5025,104
5026,104
5027,104
5028,104
5029,104
5030,104
5031,104
5032,104
5033,105
5034,105
5035,100
5036,105
5037,100
5038,100
5039,100
5040,100
5041,100
5042,100
5043,105
5044,101
5045,101
5046,103
5047,101
5048,101
5049,101
5050,101
5051,104
5052,104
5053,104
5054,104
5055,104
5056,104
5057,104
5058,104
5059,104
5060,104
5061,104
5062,105
5063,105
5064,105
5065,105
5066,103
5067,103
5068,103
5069,103
5070,100
5071,100
5072,100
5073,100
5074,100
5075,100
5076,100
5077,100
5078,105
5079,101
5080,101
5081,101
5082,101
5083,101
5084,101
5085,101
5086,101
5087,104
5088,104
5089,104
5090,104
5091,104
5092,104
5093,104
5094,104
5095,104
5096,104
5097,105
5098,105
5099,105
5100,105
5101,101
5102,100
5103,100
5104,100
5105,100
5106,100
5107,100
5108,100
5109,105
5110,105
5111,105
5112,102
5113,102
5114,102
5115,102
5116,102
5117,102
5118,102
5119,102
5120,102
5121,102
5122,102
5123,102
5124,102
5125,102
5126,102
5127,102
5128,102
5129,102
5130,102
5131,102
5132,102
5133,102
5134,102
5135,103
5136,103
5137,103
5138,102
5139,102
5140,102
5141,102
5142,103
5143,103
5144,103
5145,103
5146,103
5147,103
5148,103
5149,103
5150,101
5151,101
5152,103
5153,103
5154,102
5155,102
5156,102
5157,102
5158,102
5159,103
5160,103
5161,103
5162,103
5163,101
5164,101
5165,100
5166,100
5167,102
5168,101
5169,102
5170,102
5171,102
5172,101
5173,100
5174,100
5175,101
5176,102
5177,102
5178,102
5179,102
5180,100
5181,100
5182,100
5183,100
5184,105
5185,105
5186,105
5187,105
5188,105
5189,105
5190,101
5191,105
5192,105
5193,105
5194,105
5195,105
5196,105
5197,105
5198,105
5199,105
5200,101
5201,104
5202,101
5203,101
5204,104
5205,104
5206,104
5207,105
5208,105
5209,105
5210,104
5211,104
5212,104
5213,104
5214,105
5215,105
5216,904
5217,904
5218,904
5219,904
5220,904
5221,904
5222,904
5223,904
5224,900
5225,900
5226,900
5227,900
5228,900
5229,901
5230,901
5231,901
5232,901
5233,901
5234,900
5235,900
5236,900
5237,900
5238,900
5239,900
5240,902
5241,902
5242,902
5243,902
5244,902
5245,902
5246,906
5247,906
5248,906
5249,906
5250,906
5251,906
5252,906
5253,906
5254,906
5255,906
5256,906
5257,906
5258,906
5259,905
5260,905
5261,905
5262,905
5263,900
5264,900
5265,900
5266,900
5267,900
5268,900
5269,901
5270,901
5271,901
5272,901
5273,901
5274,901
5275,901
5276,901
5277,901
5278,901
5279,901
5280,900
5281,900
5282,902
5283,902
5284,902
5285,902
5286,902
5287,902
5288,902
5289,906
5290,906
5291,906
5292,906
5293,906
5294,906
5295,906
5296,905
5297,906
5298,902
5299,903
5300,905
5301,900
5302,900
5303,903
5304,900
5305,900
5306,900
5307,903
5308,903
5309,902
5310,902
5311,903
5312,905
5313,905
5314,903
5315,903
5316,903
5317,905
5318,905
5319,905
5320,905
5321,905
5322,905
5323,905
5324,905
5325,905
5326,904
5327,905
5328,905
5329,905
5330,905
5331,905
5332,905
5333,903
5334,905
5335,905
5336,905
5337,905
5338,905
5339,903
5340,905
5341,905
5342,904
5343,904
5344,904
5345,904
5346,904
5347,904
5348,904
5349,904
5350,904
5351,904
5352,904
5353,904
5354,903
5355,903
5356,903
5357,903
5358,903
5359,903
5360,904
5361,904
5362,903
5363,903
5364,904
5365,904
5366,904
5367,903
5368,903
5369,903
5370,903
5371,905
5372,903
5373,903
5374,901
5375,901
5376,901
5377,901
5378,901
5379,901
5380,900
5381,901
5382,901
5383,901
5384,901
5385,901
5386,901
5387,906
5388,906
5389,906
5390,902
5391,902
5392,902
5393,902
5394,902
5395,902
5396,902
5397,902
5398,902
5399,902
5400,902
5401,902
5402,902
5403,902
5404,902
