variable_names,hhldrtype,hhldrtype,hhldrtype,hhldrtype,hhldsize,hhldsize,hhldsize,hhldsize,hhldsize,hhldsize,hhldsize,hhldrage,hhldrage,hhldrage,hhldrage
variable_categories,1,2,3,4,1,2,3,4,5,6,7,1,2,3,4
region
1,45501.863,8425.738000000001,56859.481999999996,43714.917,35571.44779321212,46431.20938331766,25751.015307811485,24092.7943641829,13143.012142961186,5805.307745275898,3707.213263238741,8242.0,65848.0,57343.0,23069.0
5,67321.38799999999,11642.741,85043.087,61193.786,64950.34954686319,73328.44239569691,36488.58722354266,29537.70913439733,13188.148798446458,4639.9577166174295,3067.8071844359924,10897.001,86569.0,91027.001,36708.0
13,36030.721000000005,6155.018999999999,46139.132999999994,31169.124,33928.01045912494,42699.389970881464,18411.636172470662,16100.602106171027,5842.278195167456,1782.541779820258,729.5383163641815,11206.999,41241.0,47909.998999999996,19135.999
14,6404.911999999999,1125.101,8052.558999999999,5926.427,5873.591914058478,6804.3907011929805,3494.772094830409,3522.9476256842095,1302.1120330292395,380.3696665263157,130.81496467836254,923.0,8583.999,8530.0,3471.9999999999995
19,1293.596,186.728,1694.331,1044.346,1503.4067854472964,1816.7041435335163,477.30537104410666,290.16802292549215,85.15800672813357,39.95066982307501,6.308000498380264,77.001,1163.001,2223.999,755.0
31,78814.949,14820.697000000002,96829.25699999998,75148.096,107494.5654991445,84122.21220563253,32063.947174536734,22777.900210612752,11145.48809183229,4706.932260498938,3301.953557742251,18876.0,118599.0,84174.0,43963.999
35,29608.862,5535.009,37698.801,29724.330000000005,18385.759158382996,34883.56040777383,18074.612453551752,19889.300332051393,8088.810626564503,2292.448625272779,952.5103964027438,2258.001,43139.0,44995.0,12175.000999999998
39,1586.956104500936,260.5842022267619,2763.3483688660885,1742.4425182216464,1040.4112827456145,2735.149780571183,1048.9392440795948,855.1219410345847,327.93887675215717,251.9624939585132,93.8075746737849,59.0092750806,1655.2858189276,3641.1748841401,997.8612156671323
47,738.7439999999999,114.78800000000001,979.706,642.762,872.3417412530513,1124.1724979658259,203.4792514239219,151.09845402766476,88.64442636289665,15.109845402766478,21.153783563873066,35.999,727.0,1372.0,341.00100000000003
59,67515.291,10172.313000000002,86126.308,54754.08899999999,60753.53101926897,79076.89577514211,34473.07545737312,28854.30946741855,10264.477478984498,3439.1239078833814,1706.5878939293623,8546.999,69165.001,96904.001,43952.0
123,5225.675536215783,1056.3926632027442,8792.63189949993,6291.717050793164,4688.286232642495,7241.195275353675,3386.541210489953,3173.957850017461,1683.7270200385794,748.4556698116797,444.2538913577774,1450.7868181056092,8069.200334005209,8196.400026839201,3650.0299707616005
